timestamp,bpm,source
"2025-07-17T04:45:22+00:00",102,"workout"
"2025-07-17T04:45:27+00:00",101,"workout"
"2025-07-17T04:45:32+00:00",101,"workout"
"2025-07-17T04:45:37+00:00",101,"workout"
"2025-07-17T04:45:42+00:00",101,"workout"
"2025-07-17T04:45:47+00:00",101,"workout"
"2025-07-17T04:45:52+00:00",101,"workout"
"2025-07-17T04:45:57+00:00",100,"workout"
"2025-07-17T04:46:02+00:00",101,"workout"
"2025-07-17T04:46:07+00:00",101,"workout"
"2025-07-17T04:46:12+00:00",102,"workout"
"2025-07-17T04:46:17+00:00",102,"workout"
"2025-07-17T04:46:22+00:00",102,"workout"
"2025-07-17T04:46:27+00:00",102,"workout"
"2025-07-17T04:46:32+00:00",102,"workout"
"2025-07-17T04:46:37+00:00",101,"workout"
"2025-07-17T04:46:42+00:00",100,"workout"
"2025-07-17T04:46:43+00:00",97,"awake"
"2025-07-17T04:46:47+00:00",98,"workout"
"2025-07-17T04:46:49+00:00",96,"awake"
"2025-07-17T04:46:50+00:00",95,"awake"
"2025-07-17T04:46:52+00:00",96,"workout"
"2025-07-17T04:46:57+00:00",96,"workout"
"2025-07-17T04:47:02+00:00",95,"workout"
"2025-07-17T04:47:07+00:00",93,"workout"
"2025-07-17T04:47:12+00:00",89,"workout"
"2025-07-17T04:47:17+00:00",88,"workout"
"2025-07-17T04:47:22+00:00",87,"workout"
"2025-07-17T04:47:27+00:00",87,"workout"
"2025-07-17T04:47:32+00:00",88,"workout"
"2025-07-17T04:47:37+00:00",89,"workout"
"2025-07-17T04:47:42+00:00",90,"workout"
"2025-07-17T04:47:47+00:00",91,"workout"
"2025-07-17T04:47:52+00:00",92,"workout"
"2025-07-17T04:47:57+00:00",92,"workout"
"2025-07-17T04:48:02+00:00",92,"workout"
"2025-07-17T04:48:07+00:00",92,"workout"
"2025-07-17T04:48:12+00:00",93,"workout"
"2025-07-17T04:48:17+00:00",93,"workout"
"2025-07-17T04:48:22+00:00",92,"workout"
"2025-07-17T04:48:27+00:00",90,"workout"
"2025-07-17T04:48:32+00:00",89,"workout"
"2025-07-17T04:48:37+00:00",89,"workout"
"2025-07-17T04:48:42+00:00",90,"workout"
"2025-07-17T04:48:47+00:00",91,"workout"
"2025-07-17T04:48:52+00:00",92,"workout"
"2025-07-17T04:48:57+00:00",93,"workout"
"2025-07-17T04:49:02+00:00",93,"workout"
"2025-07-17T04:49:05+00:00",89,"awake"
"2025-07-17T04:49:07+00:00",89,"awake"
"2025-07-17T04:49:07+00:00",93,"workout"
"2025-07-17T04:49:08+00:00",91,"awake"
"2025-07-17T04:49:12+00:00",93,"workout"
"2025-07-17T04:49:17+00:00",93,"workout"
"2025-07-17T04:49:22+00:00",93,"workout"
"2025-07-17T04:49:30+00:00",89,"workout"
"2025-07-17T04:49:40+00:00",89,"workout"
"2025-07-17T04:49:50+00:00",90,"workout"
"2025-07-17T04:50:00+00:00",89,"workout"
"2025-07-17T04:50:10+00:00",88,"workout"
"2025-07-17T04:50:20+00:00",88,"workout"
"2025-07-17T04:50:30+00:00",88,"workout"
"2025-07-17T04:50:40+00:00",87,"workout"
"2025-07-17T04:50:50+00:00",86,"workout"
"2025-07-17T04:51:00+00:00",85,"workout"
"2025-07-17T04:51:10+00:00",84,"workout"
"2025-07-17T04:51:20+00:00",83,"workout"
"2025-07-17T04:51:30+00:00",81,"workout"
"2025-07-17T04:51:40+00:00",79,"workout"
"2025-07-17T04:51:50+00:00",77,"workout"
"2025-07-17T04:52:00+00:00",77,"workout"
"2025-07-17T04:52:10+00:00",77,"workout"
"2025-07-17T04:52:20+00:00",77,"workout"
"2025-07-17T04:52:30+00:00",77,"workout"
"2025-07-17T04:52:40+00:00",75,"workout"
"2025-07-17T04:52:50+00:00",72,"workout"
"2025-07-17T04:53:00+00:00",66,"workout"
"2025-07-17T04:54:51+00:00",86,"awake"
"2025-07-17T04:55:02+00:00",89,"awake"
"2025-07-17T04:55:07+00:00",85,"awake"
"2025-07-17T05:04:23+00:00",82,"awake"
"2025-07-17T05:04:33+00:00",79,"awake"
"2025-07-17T05:04:39+00:00",75,"awake"
"2025-07-17T05:10:11+00:00",83,"awake"
"2025-07-17T05:10:45+00:00",85,"awake"
"2025-07-17T05:11:05+00:00",79,"awake"
"2025-07-17T05:15:01+00:00",86,"awake"
"2025-07-17T05:15:02+00:00",83,"awake"
"2025-07-17T05:15:27+00:00",81,"awake"
"2025-07-17T05:18:13+00:00",76,"awake"
"2025-07-17T05:18:32+00:00",79,"awake"
